,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame
79,79,Joe Biden,JBi,15-Nov-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_15
80,80,Joe Biden,JBi,01-Jun-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_1
81,81,Joe Biden,JBi,01-Jun-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_2
82,82,Joe Biden,JBi,01-Jun-21,3,0.0,0.0,0.0,0.0,0.0,0.003295839905950698,0.0,0.0,0.0,5,01-Jun-21_Frame_3
83,83,Joe Biden,JBi,01-Jun-21,4,0.0,0.0,0.0,0.002351554741570561,0.0,0.0,0.0,0.0,0.1316140146119501,8,01-Jun-21_Frame_4
84,84,Joe Biden,JBi,01-Jun-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_5
85,85,Joe Biden,JBi,01-Jun-21,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_6
86,86,Joe Biden,JBi,01-Jun-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_7
87,87,Joe Biden,JBi,01-Jun-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_8
88,88,Joe Biden,JBi,01-Jun-21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_9
89,89,Joe Biden,JBi,01-Jun-21,10,0.0,0.0,0.6701127524910583,0.29665186014876943,0.0,0.0,0.03203233894072638,0.0,0.0,6,01-Jun-21_Frame_10
