,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame,FNO,Date1
99,99,Joe Biden,JBi,01-Jun-21,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_20,20,01-Jun-21
100,100,Joe Biden,JBi,01-Jun-21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_21,21,01-Jun-21
101,101,Donald Trump,DTr,26-Sep-20,1,0.5368241892774479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_1,1,26-Sep-20
102,102,Donald Trump,DTr,26-Sep-20,2,0.2927444948405148,0.0,0.0,0.0,0.0,0.0,0.14287909867628773,0.0,0.0,0,26-Sep-20_Frame_2,2,26-Sep-20
103,103,Donald Trump,DTr,26-Sep-20,3,0.20079160130694296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_3,3,26-Sep-20
104,104,Donald Trump,DTr,26-Sep-20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_4,4,26-Sep-20
105,105,Donald Trump,DTr,26-Sep-20,5,0.20215559585170173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_5,5,26-Sep-20
106,106,Donald Trump,DTr,26-Sep-20,6,0.4725340098233898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_6,6,26-Sep-20
107,107,Donald Trump,DTr,26-Sep-20,7,0.015383707784143719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_7,7,26-Sep-20
108,108,Donald Trump,DTr,26-Sep-20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_8,8,26-Sep-20
