,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
124,Donald Trump,DTr,07-Sep-20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Donald Trump,DTr,07-Sep-20,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781674586518552,0.0
126,Donald Trump,DTr,07-Sep-20,16,0.0,0.0,0.0007271867719433889,0.0,0.0,0.0,0.0,0.08274814206222425,0.0
127,Donald Trump,DTr,07-Sep-20,17,0.0,0.0,0.12303426513222565,0.0,0.0,0.0,0.24455782312734287,0.0,0.0
128,Donald Trump,DTr,07-Sep-20,18,0.0,0.04370294584473791,0.040474112585768746,0.0,0.0010466586211998474,0.0,0.0,0.0,0.0
129,Donald Trump,DTr,07-Sep-20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Donald Trump,DTr,07-Sep-20,20,0.0,0.09086138165468283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Donald Trump,DTr,07-Sep-20,21,0.0,0.0,0.0,0.0,0.0,0.0,0.10751154254642165,0.44151669689322515,0.0
132,Donald Trump,DTr,07-Sep-20,22,0.0,0.0,0.0,0.0,0.0,0.06977973873982765,0.012658086040148592,0.0,0.0
133,Donald Trump,DTr,07-Sep-20,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Donald Trump,DTr,07-Sep-20,24,0.0,0.0,0.0,0.033916284593005996,0.0,0.0,0.0,0.0,0.00538150098816545
135,Donald Trump,DTr,07-Sep-20,25,0.0,0.0,0.0,0.0,0.03258479630544256,0.0,0.0,0.0,0.0062667001706624426
136,Donald Trump,DTr,07-Sep-20,26,0.0,0.0013567827188629977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Donald Trump,DTr,07-Sep-20,27,0.0,0.0,0.0,0.0,0.0,0.0,0.012585697380393751,0.0,0.0
138,Donald Trump,DTr,07-Sep-20,28,0.0,0.0,0.0,0.0,0.0,0.3176097632952455,0.07996190010326737,0.0,0.0
139,Donald Trump,DTr,07-Sep-20,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Donald Trump,DTr,07-Sep-20,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Donald Trump,DTr,07-Sep-20,31,0.0,0.0,0.0,0.0,0.0,0.048378149125652886,0.0,0.0,0.0
142,Donald Trump,DTr,07-Sep-20,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Donald Trump,DTr,04-Jul-20,1,0.4720405974940153,0.03702875318553886,0.0,0.0,0.0,0.04216346308315788,0.0,0.0,0.0
144,Donald Trump,DTr,04-Jul-20,2,0.45430598336536765,0.0,0.017367055960968714,0.0,0.0,0.0757737718911953,0.0,0.0,0.0
145,Donald Trump,DTr,04-Jul-20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23453349184051459,0.0
146,Donald Trump,DTr,04-Jul-20,4,0.0,0.03271974854271581,0.04132917260434185,0.0,0.0,0.0,0.0,0.07112957134180106,0.0
147,Donald Trump,DTr,04-Jul-20,5,0.40842355793438023,0.0,0.0,0.20627798556306792,0.14426383319605662,0.0,0.0,0.04949654125430594,0.0
148,Donald Trump,DTr,04-Jul-20,6,0.0,0.2016721090899794,0.004643947404306653,0.0,0.06019700511952619,0.0,0.0,0.14208565347230429,0.0
149,Donald Trump,DTr,04-Jul-20,7,0.05474932448166725,0.1430933814050085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Donald Trump,DTr,04-Jul-20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Donald Trump,DTr,04-Jul-20,9,0.0,0.0,0.09337290183222319,0.041389319963421045,0.0,0.0,0.0,0.0,0.0
152,Donald Trump,DTr,04-Jul-20,10,0.35221165391456544,0.0,0.0,0.20202371548631332,0.06316222116938822,0.011470727311072793,0.0,0.0,0.007842160417982913
153,Donald Trump,DTr,04-Jul-20,11,0.7086401988983482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Donald Trump,DTr,04-Jul-20,12,0.0,0.0,0.21421763620105272,0.0,0.0,0.0,0.0,0.06144145014031627,0.0
155,Donald Trump,DTr,04-Jul-20,13,0.315650879443251,0.0,0.26392962295100447,0.0,0.0029470349485153924,0.0,0.10020203270503503,0.0,0.0
156,Donald Trump,DTr,04-Jul-20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Donald Trump,DTr,20-Jun-20,1,0.0,0.0,0.0,0.05270064117306952,0.0,0.006274901763393764,0.3359211531126688,0.0,0.0
158,Donald Trump,DTr,20-Jun-20,2,0.0,0.0,0.04220774960894316,0.0,0.0,0.0,0.0,0.0,0.12369232227453986
159,Donald Trump,DTr,20-Jun-20,3,0.2252801071717775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Donald Trump,DTr,20-Jun-20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Donald Trump,DTr,20-Jun-20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03912653572756031,0.0
162,Donald Trump,DTr,20-Jun-20,6,0.0,0.0,0.0,0.0,0.0,0.022546069290205945,0.0,0.10104674196610863,0.2776115214102625
163,Donald Trump,DTr,20-Jun-20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.09239807500722486,0.0,0.09340690000948015
164,Donald Trump,DTr,20-Jun-20,8,0.0,0.0,0.15192294961587022,0.0,0.020646949514042667,0.0,0.0,0.0,0.0
165,Donald Trump,DTr,20-Jun-20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012321376404413609
166,Donald Trump,DTr,20-Jun-20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Donald Trump,DTr,20-Jun-20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022022617170565667
168,Donald Trump,DTr,20-Jun-20,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
