,Nameabv,Name_long,Date,Frame No.,Sen1,Sen2,Sen3,Sen4,Sen5,Sen6,Sen7,Sen8,Sen9,Sen10,Sen11,Sen12,Sen13,Sen14,Sen15,Sen16
95,JBi,Joe Biden,01-Jun-21,16,-0.7351,-0.875,0.1779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019,-0.5423,0.0,0.0,0.0,0.7964
96,JBi,Joe Biden,01-Jun-21,17,-0.2584,0.3818,-0.0258,-0.6908,0.6369,0.6124,-0.6808,0.0,0.0,-0.8519,0.0,-0.5574,0.0,0.0,-0.6808,0.0
97,JBi,Joe Biden,01-Jun-21,18,-0.5719,-0.5719,-0.6597,0.0,0.0,0.7777,0.0,-0.4303,-0.1779,0.3612,0.1511,-0.7165,0.1877,0.0,0.4767,-0.5719
98,JBi,Joe Biden,01-Jun-21,19,-0.9284,0.0,0.3612,0.7964,0.6908,0.6249,0.3612,0.4404,0.9595,0.9607,-0.2912,0.0,0.0,0.7654,-0.1531,-0.2235
99,JBi,Joe Biden,01-Jun-21,20,0.0772,0.0,0.3724,0.0,0.0,-0.2235,0.0,0.0772,0.6908,0.0,0.4404,0.4019,0.0,0.1779,-0.4767,0.0
100,JBi,Joe Biden,01-Jun-21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369,0.0,0.5267,0.4215,0.0,0.0,-0.0031,0.3612
101,DTr,Donald Trump,26-Sep-20,1,0.3612,0.3612,0.3612,0.9299,0.7783,0.5256,-0.2023,0.5994,0.5719,0.6705,0.9079999999999999,0.7579,0.5994,0.5994,0.4576,0.7096
102,DTr,Donald Trump,26-Sep-20,2,0.3612,0.0,0.8271,0.0,0.8834,0.9561,0.5267,0.8176,0.0,0.3612,0.765,0.3612,0.4927,0.4927,0.0,0.7906
103,DTr,Donald Trump,26-Sep-20,3,0.0,0.9423,0.0,0.0,0.5574,0.3612,0.5984,0.4019,0.8689,0.3612,0.4019,0.0,0.5994,0.7351,0.7906,0.4404
104,DTr,Donald Trump,26-Sep-20,4,0.6486,0.3612,0.0,0.4939,0.0,0.5574,0.4215,0.0,0.3612,0.6113,0.7717,0.0,0.0,0.0,0.0,0.4927
105,DTr,Donald Trump,26-Sep-20,5,0.7096,0.0,0.3182,0.0,0.7269,0.659,0.3612,0.7351,-0.4404,0.0,0.8689,0.7579,0.5267,0.7184,0.5267,0.5994
106,DTr,Donald Trump,26-Sep-20,6,0.5678,0.3182,0.3612,0.5994,0.5994,0.3612,0.8122,0.7824,0.0,0.8748,0.9325,0.8909999999999999,0.0,0.8834,0.3442,0.3252
107,DTr,Donald Trump,26-Sep-20,7,0.802,0.4215,0.743,-0.3182,0.9169,0.77,0.0,0.8316,0.29600000000000004,0.0,0.2732,0.5267,0.0,0.0,0.4588,0.0
108,DTr,Donald Trump,26-Sep-20,8,0.6808,0.0,0.0,0.4019,0.7096,-0.3089,0.0,0.3535,0.0,0.0,0.0,0.9312,0.8402,0.5095,0.0,0.34
109,DTr,Donald Trump,26-Sep-20,9,0.5267,0.7506,0.0772,0.7506,0.34,0.0,0.7873,0.1779,0.0,0.7096,0.9168,0.3612,0.0,0.0,0.0772,0.3612
110,DTr,Donald Trump,26-Sep-20,10,0.0,0.6249,0.4576,0.5719,0.4201,0.3612,0.3612,0.3612,0.5994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,DTr,Donald Trump,07-Sep-20,1,0.3612,0.3612,0.5719,0.5059,0.6115,0.4767,0.8396,0.0,0.8357,0.0,0.4215,0.0,0.0,0.0,0.0,0.0
112,DTr,Donald Trump,07-Sep-20,2,0.0,0.0,-0.4404,0.0,0.0,-0.1372,0.0,0.0,0.7648,-0.6249,-0.7906,0.3818,-0.5106,0.6369,0.3612,0.0
113,DTr,Donald Trump,07-Sep-20,3,0.2732,0.4019,0.0,-0.6705,0.0,0.3612,-0.6983,-0.6486,0.0,0.0,-0.8824,-0.34,-0.4767,0.0,0.3612,0.0
114,DTr,Donald Trump,07-Sep-20,4,0.0,-0.4215,0.0,-0.6113,0.764,0.3353,0.7425,0.5719,0.5719,0.0,0.0258,-0.128,0.3818,0.3818,0.0,-0.6486
115,DTr,Donald Trump,07-Sep-20,5,0.5574,0.3182,0.6705,0.4215,0.0,0.6808,0.2732,0.0772,0.3384,0.2732,-0.4939,-0.4939,0.0258,0.0,0.802,-0.0516
116,DTr,Donald Trump,07-Sep-20,6,0.0,0.3818,0.3818,0.0,0.2732,0.0,0.0,-0.4215,0.6222,0.0,-0.34,0.7829999999999999,-0.34,0.0,-0.955,-0.4019
117,DTr,Donald Trump,07-Sep-20,7,-0.6486,0.0,-0.7506,-0.6369,0.0,0.34,0.0,0.0,-0.2732,0.0,0.0,0.0,0.4576,0.5574,0.5574,0.6369
118,DTr,Donald Trump,07-Sep-20,8,0.4939,-0.4767,-0.5994,0.0,-0.29600000000000004,0.0,0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.6115,0.0,0.0,-0.4585
119,DTr,Donald Trump,07-Sep-20,9,-0.4585,0.1531,-0.4019,-0.3182,0.0,0.5207,0.0,0.4215,0.4754,-0.4767,-0.4767,0.0,0.0,0.6124,0.0,0.0
120,DTr,Donald Trump,07-Sep-20,10,0.4019,-0.7146,0.0,0.0,0.0,0.0,0.5777,0.25,0.4404,0.7003,0.4588,0.5984,-0.2006,0.0,0.0,0.0
121,DTr,Donald Trump,07-Sep-20,11,0.0,0.2732,0.0,0.3612,-0.0516,-0.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.6597,0.0
122,DTr,Donald Trump,07-Sep-20,12,0.0,0.0,0.0,-0.8271,0.2263,-0.4767,0.0,0.0,0.0,0.0772,0.0,0.0,0.0772,-0.4767,-0.4767,-0.8225
123,DTr,Donald Trump,07-Sep-20,13,0.6369,0.9602,-0.5574,-0.4767,-0.3612,0.2732,0.0,0.0,0.0,0.4404,0.0,0.3612,-0.3182,0.3182,0.3182,-0.5574
124,DTr,Donald Trump,07-Sep-20,14,-0.6361,-0.7351,0.0,0.0,0.0,0.0,0.0,0.0,0.4754,-0.6977,0.5267,0.5719,0.0,0.0,0.0,0.0
125,DTr,Donald Trump,07-Sep-20,15,0.0,0.0,0.0,-0.8394,-0.5256,0.0,0.0,0.0,-0.7184,0.3612,0.0,0.0,-0.1513,-0.6249,0.4939,0.0
126,DTr,Donald Trump,07-Sep-20,16,0.0,0.0,-0.4357,0.4404,-0.5849,0.5859,0.4019,0.9001,0.34,-0.4751,0.0,0.0,0.1531,0.34,0.0,0.0
127,DTr,Donald Trump,07-Sep-20,17,0.0,-0.5106,0.2263,-0.5106,0.0,0.0,0.0,0.6249,0.6249,0.0,0.0,-0.4585,0.0,0.4404,0.0,0.9274
128,DTr,Donald Trump,07-Sep-20,18,-0.34,-0.5267,-0.5267,0.0,0.0,0.0,0.0,0.0772,0.5719,-0.6032,0.0,0.8126,0.7506,0.2716,0.2716,0.0
129,DTr,Donald Trump,07-Sep-20,19,0.3612,0.4215,0.128,0.7506,-0.0258,-0.1027,0.0,0.0,0.0,0.5423,0.6115,0.29600000000000004,0.0,0.4404,0.0,0.3182
130,DTr,Donald Trump,07-Sep-20,20,0.0,0.0,0.0,0.2732,0.4215,0.0,0.4404,0.6249,0.4404,-0.1027,0.0,-0.29600000000000004,0.0,-0.5267,-0.2023,-0.3818
131,DTr,Donald Trump,07-Sep-20,21,-0.2411,0.0,-0.3612,0.4215,0.0,-0.7758,0.7090000000000001,-0.7184,0.5719,0.0,0.0,0.0,0.0,0.0,0.0,0.3182
132,DTr,Donald Trump,07-Sep-20,22,0.7351,0.6124,-0.7089,0.0,0.0,0.0,0.6478,0.0,0.0,0.3912,0.0,-0.4939,0.3612,0.3612,0.2952,0.0
133,DTr,Donald Trump,07-Sep-20,23,0.0,0.0,0.0,0.0,0.5984,0.0,-0.3182,-0.5423,0.0,0.0,0.0498,0.0,0.0,-0.2755,0.0,0.0
134,DTr,Donald Trump,07-Sep-20,24,-0.5256,0.0,0.4939,0.0258,0.0,0.0,-0.29600000000000004,0.6801,0.0,0.4019,-0.4404,0.0,-0.4767,0.0,0.6124,0.3612
